family,size,variant,baseline,coverage,median_us_per_pass,p95_us_per_pass,ns_per_element_or_pair,median_time_ratio,median_ci_low,median_ci_high,allocation_calls,allocation_bytes,status,round
metrics_gf_mul,16,f2z,f2z,implementation_comparison,0.016447499999999997,0.01707405,1.0279687499999999,1.0,1.0,1.0,0,0,pass,initial
metrics_gf_mul,16,flock,f2z,implementation_comparison,0.0159925,0.01651535,0.99953125,0.9697686252207489,0.9659224861745589,0.9774516087361821,0,0,pass,initial
metrics_gf_mul,16,shared,f2z,implementation_comparison,0.016482,0.017087150000000002,1.030125,1.000610593802473,0.9956077392043553,1.0047276311756972,0,0,pass,initial
metrics_gf_mul,16,scalar_lanes,f2z,implementation_comparison,0.016118499999999997,0.016776199999999998,1.0074062499999998,0.9737749961837889,0.9702958218969198,0.982208907773668,0,0,pass,initial
metrics_gf_mul,1024,f2z,f2z,implementation_comparison,0.92776,0.96269615,0.906015625,1.0,1.0,1.0,0,0,pass,initial
metrics_gf_mul,1024,flock,f2z,implementation_comparison,0.872243,0.9037727999999999,0.8517998046874999,0.937465431135578,0.9334974486474881,0.9452772440273008,0,0,pass,initial
metrics_gf_mul,1024,shared,f2z,implementation_comparison,0.929016,0.9622592,0.9072421875,1.0005983638959755,0.9955146608458464,1.010756218847805,0,0,inconclusive,initial
metrics_gf_mul,1024,scalar_lanes,f2z,implementation_comparison,0.8742270000000001,0.9031347,0.8537373046875001,0.9430846165036443,0.935125988493621,0.9503008114378547,0,0,pass,initial
metrics_gf_add,16,f2z,f2z,implementation_comparison,0.010365500000000001,0.010988999999999999,0.64784375,1.0,1.0,1.0,0,0,pass,retry
metrics_gf_add,16,flock,f2z,implementation_comparison,0.010131,0.010757100000000002,0.6331875,0.98002532001688,0.9363598954195824,1.0152199000527609,0,0,inconclusive,retry
metrics_gf_add,16,shared,f2z,implementation_comparison,0.0102985,0.01087055,0.64365625,0.9957331082665166,0.9601830985915492,1.0162159124830643,0,0,inconclusive,retry
metrics_gf_add,1024,f2z,f2z,implementation_comparison,0.27749149999999995,0.33502755,0.27098779296875,1.0,1.0,1.0,0,0,pass,retry
metrics_gf_add,1024,flock,f2z,implementation_comparison,0.27884000000000003,0.33487905,0.27230468750000003,0.9985541941939768,0.9905071180426273,1.0231974051470325,0,0,inconclusive,retry
metrics_gf_add,1024,shared,f2z,implementation_comparison,0.277064,0.33236795,0.27057031249999997,0.998397241882762,0.9910874531107219,1.0033424801834963,0,0,inconclusive,retry
metrics_gf_square,16,f2z,f2z,implementation_comparison,0.011827,0.0127459,0.7391875,1.0,1.0,1.0,0,0,pass,retry
metrics_gf_square,16,flock,f2z,implementation_comparison,0.039841499999999995,0.04272405,2.4900937499999998,3.369505202803143,3.3523985579651785,3.379862180262397,0,0,regression,retry
metrics_gf_square,16,shared,f2z,implementation_comparison,0.0118765,0.0127742,0.74228125,1.0023824718145076,0.9954060731821666,1.006978129520892,0,0,inconclusive,retry
metrics_gf_square,1024,f2z,f2z,implementation_comparison,0.672508,0.84055665,0.65674609375,1.0,1.0,1.0,0,0,pass,retry
metrics_gf_square,1024,flock,f2z,implementation_comparison,2.4358135,3.1935097,2.37872412109375,3.6278329735787183,3.617684183760898,3.6612318367985806,0,0,regression,retry
metrics_gf_square,1024,shared,f2z,implementation_comparison,0.6733830000000001,0.81753475,0.6576005859375,1.006541171803993,0.995521384222545,1.0105147583273877,0,0,inconclusive,retry
metrics_gf_inverse,16,f2z,f2z,implementation_comparison,7.135173000000001,7.6439216000000005,445.94831250000004,1.0,1.0,1.0,0,0,pass,retry
metrics_gf_inverse,16,flock,f2z,implementation_comparison,17.307414,18.4391725,1081.713375,2.4289783233676507,2.4177899756791006,2.4408740187651916,0,0,regression,retry
metrics_gf_inverse,16,shared,f2z,implementation_comparison,7.1334230000000005,7.5892531,445.83893750000004,0.9978889839527438,0.9920519166273652,1.0042279235925398,0,0,inconclusive,retry
metrics_gf_inverse,1024,f2z,f2z,implementation_comparison,457.5208125,494.6655875,446.79766845703125,1.0,1.0,1.0,0,0,pass,retry
metrics_gf_inverse,1024,flock,f2z,implementation_comparison,1109.026125,1200.8875,1083.0333251953125,2.427588279985821,2.416341726508654,2.440795929067651,0,0,regression,retry
metrics_gf_inverse,1024,shared,f2z,implementation_comparison,457.3568125,495.7026875,446.63751220703125,0.9979216579828244,0.9925865172293927,1.0044740297768788,0,0,inconclusive,retry
gf8_add,16,flock,flock,baseline_only,0.003548,0.0037111999999999983,0.22175,,,,0,0,replacement_unmeasured,initial
gf8_add,1024,flock,flock,baseline_only,0.020844,0.0234984,0.02035546875,,,,0,0,replacement_unmeasured,initial
gf8_mul,16,flock,flock,baseline_only,0.0244775,0.025198900000000003,1.52984375,,,,0,0,replacement_unmeasured,initial
gf8_mul,1024,flock,flock,baseline_only,1.488261,1.5654340500000001,1.4533798828125,,,,0,0,replacement_unmeasured,initial
gf8_inverse,16,flock,flock,baseline_only,0.583824,0.5969951499999999,36.489,,,,0,0,replacement_unmeasured,initial
gf8_inverse,1024,flock,flock,baseline_only,37.2766915,39.2518527,36.40301904296875,,,,0,0,replacement_unmeasured,initial
b127_add,16,f2z,f2z,baseline_only,0.0100485,0.010252049999999999,0.62803125,,,,0,0,replacement_unmeasured,initial
b127_add,1024,f2z,f2z,baseline_only,0.277261,0.3823645,0.27076269531249997,,,,0,0,replacement_unmeasured,initial
b127_mul,16,f2z,f2z,baseline_only,0.020453,0.0208944,1.2783125,,,,0,0,replacement_unmeasured,initial
b127_mul,1024,f2z,f2z,baseline_only,1.233561,1.3136149499999998,1.2046494140625,,,,0,0,replacement_unmeasured,initial
b127_square,16,f2z,f2z,baseline_only,0.0118755,0.01236025,0.74221875,,,,0,0,replacement_unmeasured,initial
b127_square,1024,f2z,f2z,baseline_only,0.665047,0.684582,0.6494599609375,,,,0,0,replacement_unmeasured,initial
b127_inverse,16,f2z,f2z,baseline_only,6.859009,7.054275949999999,428.6880625,,,,0,0,replacement_unmeasured,initial
b127_inverse,1024,f2z,f2z,baseline_only,436.9349375,457.31145624999994,426.69427490234375,,,,0,0,replacement_unmeasured,initial
gf128_round,16,f2z_single_pair,f2z_single_pair,baseline_only,0.092551,0.09527165,5.784437499999999,,,,0,0,replacement_unmeasured,initial
gf128_round,1024,f2z_single_pair,f2z_single_pair,baseline_only,5.597575000000001,5.7024839499999995,5.466381835937501,,,,0,0,replacement_unmeasured,initial
metrics_integer_add,l2_n16,circuit_z,circuit_z,baseline_only,0.012132500000000001,0.0125353,0.75828125,,,,0,0,replacement_unmeasured,initial
metrics_integer_add,l2_n1024,circuit_z,circuit_z,baseline_only,0.631223,0.6552131000000001,0.6164287109375,,,,0,0,replacement_unmeasured,initial
metrics_integer_add,l4_n16,circuit_z,circuit_z,baseline_only,0.032695499999999995,0.0346686,2.0434687499999997,,,,0,0,replacement_unmeasured,initial
metrics_integer_add,l4_n1024,circuit_z,circuit_z,baseline_only,2.0097245,2.1892796,1.96262158203125,,,,0,0,replacement_unmeasured,initial
metrics_integer_add,l9_n16,circuit_z,circuit_z,baseline_only,0.054831500000000005,0.057071000000000004,3.4269687500000003,,,,0,0,replacement_unmeasured,initial
metrics_integer_add,l9_n1024,circuit_z,circuit_z,baseline_only,3.7309775,3.8537145500000003,3.64353271484375,,,,0,0,replacement_unmeasured,initial
metrics_integer_sub,l2_n16,circuit_z,circuit_z,baseline_only,0.0127375,0.013123349999999999,0.79609375,,,,0,0,replacement_unmeasured,initial
metrics_integer_sub,l2_n1024,circuit_z,circuit_z,baseline_only,0.6681189999999999,0.8328575999999991,0.6524599609374999,,,,0,0,replacement_unmeasured,initial
metrics_integer_sub,l4_n16,circuit_z,circuit_z,baseline_only,0.028201,0.0291962,1.7625625,,,,0,0,replacement_unmeasured,initial
metrics_integer_sub,l4_n1024,circuit_z,circuit_z,baseline_only,1.657562,1.7143838999999998,1.618712890625,,,,0,0,replacement_unmeasured,initial
metrics_integer_sub,l9_n16,circuit_z,circuit_z,baseline_only,0.060077,0.06230159999999999,3.7548125,,,,0,0,replacement_unmeasured,initial
metrics_integer_sub,l9_n1024,circuit_z,circuit_z,baseline_only,3.9615069999999997,4.0935545499999995,3.8686591796874996,,,,0,0,replacement_unmeasured,initial
metrics_uint_checked_add,l2_n16,existing,existing,baseline_only,0.0210195,0.021612799999999998,1.31371875,,,,0,0,replacement_unmeasured,initial
metrics_uint_checked_add,l2_n1024,existing,existing,baseline_only,1.2551984999999999,1.29518355,1.22577978515625,,,,0,0,replacement_unmeasured,initial
metrics_uint_checked_add,l4_n16,existing,existing,baseline_only,0.025476500000000003,0.02639005,1.59228125,,,,0,0,replacement_unmeasured,initial
metrics_uint_checked_add,l4_n1024,existing,existing,baseline_only,1.5052590000000001,1.56171005,1.4699794921875,,,,0,0,replacement_unmeasured,initial
metrics_uint_checked_add,l9_n16,existing,existing,baseline_only,0.0585855,0.061426049999999996,3.6615937499999998,,,,0,0,replacement_unmeasured,initial
metrics_uint_checked_add,l9_n1024,existing,existing,baseline_only,4.3461915,4.480547649999999,4.24432763671875,,,,0,0,replacement_unmeasured,initial
metrics_uint_checked_sub,l2_n16,existing,existing,baseline_only,0.0212585,0.037013999999999984,1.3286562499999999,,,,0,0,replacement_unmeasured,initial
metrics_uint_checked_sub,l2_n1024,existing,existing,baseline_only,1.243373,1.27977855,1.2142314453125,,,,0,0,replacement_unmeasured,initial
metrics_uint_checked_sub,l4_n16,existing,existing,baseline_only,0.028300000000000002,0.029855199999999995,1.76875,,,,0,0,replacement_unmeasured,initial
metrics_uint_checked_sub,l4_n1024,existing,existing,baseline_only,1.7211100000000001,1.8430419999999996,1.6807714843750001,,,,0,0,replacement_unmeasured,initial
metrics_uint_checked_sub,l9_n16,existing,existing,baseline_only,0.0739505,0.07693475000000001,4.62190625,,,,0,0,replacement_unmeasured,initial
metrics_uint_checked_sub,l9_n1024,existing,existing,baseline_only,4.724568499999999,4.851630599999999,4.613836425781249,,,,0,0,replacement_unmeasured,initial
metrics_uint_checked_mul,l2_n16,existing,existing,baseline_only,0.033411,0.03525055,2.0881875,,,,0,0,replacement_unmeasured,initial
metrics_uint_checked_mul,l2_n1024,existing,existing,baseline_only,1.95933,2.08758715,1.913408203125,,,,0,0,replacement_unmeasured,initial
metrics_uint_checked_mul,l4_n16,existing,existing,baseline_only,0.1190245,0.12234969999999999,7.43903125,,,,0,0,replacement_unmeasured,initial
metrics_uint_checked_mul,l4_n1024,existing,existing,baseline_only,7.5109865,7.80031425,7.33494775390625,,,,0,0,replacement_unmeasured,initial
metrics_uint_checked_mul,l9_n16,existing,existing,baseline_only,0.9488424999999999,1.0002541999999999,59.30265625,,,,0,0,replacement_unmeasured,initial
metrics_uint_checked_mul,l9_n1024,existing,existing,baseline_only,62.452156,64.9628858,60.98843359375,,,,0,0,replacement_unmeasured,initial
metrics_int_checked_add,l2_n16,existing,existing,baseline_only,0.020009,0.06483944999999999,1.2505625,,,,0,0,replacement_unmeasured,initial
metrics_int_checked_add,l2_n1024,existing,existing,baseline_only,1.1606955,1.3673217499999997,1.13349169921875,,,,0,0,replacement_unmeasured,initial
metrics_int_checked_add,l4_n16,existing,existing,baseline_only,0.0259735,0.02694145,1.62334375,,,,0,0,replacement_unmeasured,initial
metrics_int_checked_add,l4_n1024,existing,existing,baseline_only,2.034658,2.23662315,1.986970703125,,,,0,0,replacement_unmeasured,initial
metrics_int_checked_add,l9_n16,existing,existing,baseline_only,0.07219,0.08091569999999992,4.511875,,,,0,0,replacement_unmeasured,initial
metrics_int_checked_add,l9_n1024,existing,existing,baseline_only,4.6316525,4.768098599999999,4.52309814453125,,,,0,0,replacement_unmeasured,initial
metrics_int_checked_sub,l2_n16,existing,existing,baseline_only,0.0198615,0.02060335,1.24134375,,,,0,0,replacement_unmeasured,initial
metrics_int_checked_sub,l2_n1024,existing,existing,baseline_only,1.204936,1.5880055,1.1766953125,,,,0,0,replacement_unmeasured,initial
metrics_int_checked_sub,l4_n16,existing,existing,baseline_only,0.037238,0.0382062,2.327375,,,,0,0,replacement_unmeasured,initial
metrics_int_checked_sub,l4_n1024,existing,existing,baseline_only,2.335022,2.4588967,2.280294921875,,,,0,0,replacement_unmeasured,initial
metrics_int_checked_sub,l9_n16,existing,existing,baseline_only,0.101321,0.10896734999999999,6.3325625,,,,0,0,replacement_unmeasured,initial
metrics_int_checked_sub,l9_n1024,existing,existing,baseline_only,6.529419,6.911151499999999,6.3763857421875,,,,0,0,replacement_unmeasured,initial
metrics_int_checked_mul,l2_n16,existing,existing,baseline_only,0.0629235,0.06473854999999999,3.93271875,,,,0,0,replacement_unmeasured,initial
metrics_int_checked_mul,l2_n1024,existing,existing,baseline_only,3.9102175,4.1771926,3.8185717773437498,,,,0,0,replacement_unmeasured,initial
metrics_int_checked_mul,l4_n16,existing,existing,baseline_only,0.15592450000000002,0.16027445,9.745281250000001,,,,0,0,replacement_unmeasured,initial
metrics_int_checked_mul,l4_n1024,existing,existing,baseline_only,9.934366,10.180262350000001,9.701529296875,,,,0,0,replacement_unmeasured,initial
metrics_int_checked_mul,l9_n16,existing,existing,baseline_only,0.4989955,0.51627805,31.18721875,,,,0,0,replacement_unmeasured,initial
metrics_int_checked_mul,l9_n1024,existing,existing,baseline_only,32.025875,33.5937332,31.2752685546875,,,,0,0,replacement_unmeasured,initial
metrics_uint_compare,l2_n16,existing,existing,baseline_only,0.015385999999999999,0.015834249999999998,0.961625,,,,0,0,replacement_unmeasured,initial
metrics_uint_compare,l2_n1024,existing,existing,baseline_only,0.7792305,0.8171892000000001,0.76096728515625,,,,0,0,replacement_unmeasured,initial
metrics_uint_compare,l4_n16,existing,existing,baseline_only,0.0335455,0.0365314,2.09659375,,,,0,0,replacement_unmeasured,initial
metrics_uint_compare,l4_n1024,existing,existing,baseline_only,2.004008,2.113639999999999,1.9570390624999998,,,,0,0,replacement_unmeasured,initial
metrics_uint_compare,l9_n16,existing,existing,baseline_only,0.097755,0.10781924999999998,6.1096875,,,,0,0,replacement_unmeasured,initial
metrics_uint_compare,l9_n1024,existing,existing,baseline_only,6.269368,6.517769449999999,6.1224296875,,,,0,0,replacement_unmeasured,initial
metrics_uint_wide_mul,l2_n16,existing,existing,baseline_only,0.0242215,0.02496435,1.51384375,,,,0,0,replacement_unmeasured,initial
metrics_uint_wide_mul,l2_n1024,existing,existing,baseline_only,1.4246875,1.4533274999999999,1.39129638671875,,,,0,0,replacement_unmeasured,initial
metrics_uint_wide_mul,l4_n16,existing,existing,baseline_only,0.10844200000000001,0.11575914999999998,6.7776250000000005,,,,0,0,replacement_unmeasured,initial
metrics_uint_wide_mul,l4_n1024,existing,existing,baseline_only,6.795086,7.18664855,6.635826171875,,,,0,0,replacement_unmeasured,initial
metrics_uint_wide_mul,l9_n16,existing,existing,baseline_only,0.793747,0.8233458499999999,49.6091875,,,,0,0,replacement_unmeasured,initial
metrics_uint_wide_mul,l9_n1024,existing,existing,baseline_only,50.7141955,52.60244639999999,49.52558154296875,,,,0,0,replacement_unmeasured,initial
metrics_uint_divrem,l2_d64_n16,existing_prevalidated_divisor,existing_prevalidated_divisor,baseline_only,0.716082,0.73351945,44.755125,,,,0,0,replacement_unmeasured,initial
metrics_uint_divrem,l2_dfull_n16,existing_prevalidated_divisor,existing_prevalidated_divisor,baseline_only,0.7228215,0.75703925,45.17634375,,,,0,0,replacement_unmeasured,initial
metrics_uint_divrem,l2_d64_n1024,existing_prevalidated_divisor,existing_prevalidated_divisor,baseline_only,44.9213865,46.158277649999995,43.86854150390625,,,,0,0,replacement_unmeasured,initial
metrics_uint_divrem,l2_dfull_n1024,existing_prevalidated_divisor,existing_prevalidated_divisor,baseline_only,45.03222650000001,46.4630395,43.976783691406254,,,,0,0,replacement_unmeasured,initial
metrics_uint_divrem,l4_d64_n16,existing_prevalidated_divisor,existing_prevalidated_divisor,baseline_only,1.5003049999999998,1.5701981999999999,93.76906249999999,,,,0,0,replacement_unmeasured,initial
metrics_uint_divrem,l4_dfull_n16,existing_prevalidated_divisor,existing_prevalidated_divisor,baseline_only,1.5103250000000001,1.56466595,94.3953125,,,,0,0,replacement_unmeasured,initial
metrics_uint_divrem,l4_d64_n1024,existing_prevalidated_divisor,existing_prevalidated_divisor,baseline_only,95.41731200000001,98.98204065,93.18096875,,,,0,0,replacement_unmeasured,initial
metrics_uint_divrem,l4_dfull_n1024,existing_prevalidated_divisor,existing_prevalidated_divisor,baseline_only,96.24673449999999,100.15246385,93.99095166015624,,,,0,0,replacement_unmeasured,initial
metrics_uint_divrem,l9_d64_n16,existing_prevalidated_divisor,existing_prevalidated_divisor,baseline_only,4.290933999999999,4.437439100000001,268.18337499999996,,,,0,0,replacement_unmeasured,initial
metrics_uint_divrem,l9_dfull_n16,existing_prevalidated_divisor,existing_prevalidated_divisor,baseline_only,4.335612499999999,4.4695398,270.97578124999995,,,,0,0,replacement_unmeasured,initial
metrics_uint_divrem,l9_d64_n1024,existing_prevalidated_divisor,existing_prevalidated_divisor,baseline_only,273.623688,281.30794375,267.2106328125,,,,0,0,replacement_unmeasured,initial
metrics_uint_divrem,l9_dfull_n1024,existing_prevalidated_divisor,existing_prevalidated_divisor,baseline_only,276.235687,282.5145442,269.7614130859375,,,,0,0,replacement_unmeasured,initial
prime_context_setup,q127,existing,existing,baseline_only,0.1221925,0.12587879999999999,122.1925,,,,0,0,replacement_unmeasured,initial
prime_inverse_each,q127_n16,existing,existing,baseline_only,13.610842,14.1257886,850.677625,,,,0,0,replacement_unmeasured,initial
prime_inverse_each,q127_n1024,existing,existing,baseline_only,872.97925,898.836375,852.518798828125,,,,0,0,replacement_unmeasured,initial
prime_canonical_encode_into,q127_n16,existing,existing,baseline_only,0.034292,0.03536495,2.14325,,,,0,0,replacement_unmeasured,initial
prime_canonical_encode_into,q127_n1024,existing,existing,baseline_only,2.1166785,2.1925527,2.06706884765625,,,,0,0,replacement_unmeasured,initial
prime_canonical_decode_into,q127_n16,existing,existing,baseline_only,0.092967,0.09679895,5.8104375,,,,0,0,replacement_unmeasured,initial
